,rep,shoulder_angle,elbow_angle,error_1,error_2
109,1,8.502989309115215,60.569514580408345,False,False
110,1,9.552926737240714,56.56457544471416,False,False
111,1,10.048925596763885,53.40322447591355,False,False
112,1,10.43228921118156,51.559328906957134,False,False
113,1,11.780240097926582,47.621599188778866,False,False
114,1,13.518154583251416,44.32964559050644,False,False
115,1,15.675744900674776,42.29728530377315,False,False
116,1,17.953682390772446,41.96796073906541,False,False
117,1,19.331490213646976,40.41285673005194,False,False
118,1,20.65504163244154,39.14417550996621,True,False
119,1,21.01979539777185,38.29861635447449,True,False
120,1,21.33848763962553,37.45221407446946,True,False
121,1,21.50480300884619,36.998127321203306,True,False
122,1,21.574246910637285,36.44155384085135,True,False
123,1,21.930050766522857,36.188379799704336,True,False
124,1,21.96793740313129,35.945902059015225,True,False
125,1,22.051004664404314,35.698477297048235,True,False
126,1,21.95233219561405,35.49505169609816,True,False
127,1,21.94386843200553,35.279693948576025,True,False
128,1,21.96226237500094,35.09973890297867,True,False
129,1,21.937141321637576,34.93561109754393,True,False
130,1,21.890336398119892,35.05165597561273,True,False
131,1,21.793670846870548,35.07073190920983,True,False
132,1,21.688343653162004,35.06485348802414,True,False
133,1,21.598826132704996,35.287314782972686,True,False
134,1,20.98127204050889,35.22230708560914,True,False
135,1,20.42725562314509,35.73556824978056,True,False
136,1,19.819699397689845,36.18585544575381,False,False
137,1,19.071785074655118,37.05801809696221,False,False
138,1,17.9880299270261,38.40697657025762,False,False
139,1,16.983271385809804,40.45580768536632,False,False
140,1,15.85576899463305,43.96217628538989,False,False
141,1,14.457321252017405,46.375631925813444,False,False
142,1,13.584636133083421,48.42902213205732,False,False
143,1,12.289147805935416,52.46435018706347,False,False
144,1,11.782421080679411,57.866000314596256,False,False
145,1,11.265632685702492,63.704001309677764,False,False
146,1,11.235850353674339,71.26515311950135,False,False
147,1,11.204941818843713,76.98650552917788,False,False
148,1,11.057711465008056,83.38528472168173,False,False
149,1,10.982536518295461,90.46216770902839,False,False
150,1,10.086267055602997,97.99302956493798,False,False
151,1,8.767480338361578,105.20186787147675,False,False
152,1,7.272081542503271,112.16233120209009,False,False
153,1,6.281588294962973,121.70001303049128,False,False
154,1,5.1921360470350155,129.36837080682747,False,False
155,1,3.4323632800969683,132.4806570978136,False,False
156,1,2.396229439581145,137.99886556356492,False,False
157,1,0.6564448002599179,141.185321454307,False,False
